,annual_rainfall_year,annual_rainfall_mm
0,1900,376.0
1,1901,404.92
2,1902,319.52
3,1903,520.28
4,1904,505.83
5,1905,332.52
6,1906,490.93
7,1907,460.59
8,1908,458.03
9,1909,443.02
10,1910,535.56
11,1911,436.93
12,1912,384.8
13,1913,444.92
14,1914,425.02
15,1915,381.84
16,1916,530.59
17,1917,578.01
18,1918,430.84
19,1919,366.02
20,1920,514.56
21,1921,550.43
22,1922,416.21
23,1923,411.33
24,1924,409.28
25,1925,421.37
26,1926,413.71
27,1927,417.73
28,1928,360.39
29,1929,378.47
30,1930,490.94
31,1931,435.92
32,1932,386.14
33,1933,444.51
34,1934,438.58
35,1935,349.7
36,1936,404.48
37,1937,385.81
38,1938,363.7
39,1939,492.39
40,1940,395.42
41,1941,480.39
42,1942,530.8
43,1943,389.53
44,1944,380.56
45,1945,409.97
46,1946,407.11
47,1947,500.14
48,1948,385.48
49,1949,476.95
50,1950,627.49
51,1951,369.27
52,1952,384.01
53,1953,426.13
54,1954,460.55
55,1955,573.18
56,1956,601.3
57,1957,388.68
58,1958,418.56
59,1959,414.37
60,1960,458.4
61,1961,336.14
62,1962,436.42
63,1963,475.58
64,1964,425.99
65,1965,345.72
66,1966,397.56
67,1967,428.88
68,1968,544.54
69,1969,410.8
70,1970,380.41
71,1971,486.33
72,1972,362.26
73,1973,641.11
74,1974,760.57
75,1975,593.78
76,1976,522.95
77,1977,469.86
78,1978,517.39
79,1979,451.81
80,1980,429.75
81,1981,527.34
82,1982,415.14
83,1983,492.99
84,1984,546.45
85,1985,397.53
86,1986,385.94
87,1987,450.08
88,1988,454.26
89,1989,480.3
90,1990,413.17
91,1991,460.81
92,1992,447.91
93,1993,487.96
94,1994,338.68
95,1995,518.15
96,1996,462.26
97,1997,514.17
98,1998,548.86
99,1999,578.77
100,2000,710.57
101,2001,542.8
102,2002,332.54
103,2003,469.91
104,2004,491.58
105,2005,394.3
106,2006,482.06
107,2007,495.65
108,2008,471.42
109,2009,452.69
110,2010,683.7
111,2011,696.7
112,2012,471.84
113,2013,422.61
114,2014,473.38
115,2015,436.74
116,2016,532.09
117,2017,494.44
118,2018,405.85
119,2019,275.71
120,2020,483.36
